,ztfname,filename,redshift,phase,v_x1,v_x2,V_Sil_5972_mean,V_err_Sil_5972_mean,V_Sil_5972_median,V_err_Sil_5972_median,V_lower_err_Sil_5972_median,V_higher_err_Sil_5972_median,pEW_Sil_5972_mean,pEW_err_Sil_5972_mean,pEW_Sil_5972_median,pEW_err_Sil_5972_median,pEW_lower_err_Sil_5972_median,pEW_higher_err_Sil_5972_median,pEW_Sil_5972_median_trap,pEW_Sil_5972_median_trap_err,pEW_lower_trap_err_Sil_5972_median,pEW_higher_trap_err_Sil_5972_median,FWHMv_Sil_5972_mean,FWHMv_err_Sil_5972_mean,FWHMv_Sil_5972_median,FWHMv_err_Sil_5972_median,FWHMA_Sil_5972_mean,FWHMA_err_Sil_5972_mean,FWHMA_Sil_5972_median,FWHMA_err_Sil_5972_median,FWHMA_lower_err_Sil_5972_median,FWHMA_higher_err_Sil_5972_median,V_Sil_err_low_5972_final,V_Sil_err_high_5972_final,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final
0,ZTF18aabstmw,ZTF18aabstmw_20180307_LCO-FLOYDS_0_dereddened.csv,0.02308648,-6.750250680001045,-14153.225806451606,-4133.064516129023,-1.0555881948603987,0.004461073262690843,-1.0552770252672978,0.004461073262690843,0.0021270493885036275,0.00114556103923222,28.468075642844248,0.5878440702336113,28.621343532355777,0.5878440702336113,0.4795661516695168,0.45184562253215566,27.71640455131577,0.6775567314166587,0.8075071102340575,0.23084754100590454,0.4994734627044531,0.012249047265154463,0.5000899208549581,0.012249047265154463,95.94354069633621,1.2117154894557502,96.06558799930235,1.2117154894557502,1.1189484241152359,0.6846732859220923,0.024942217493820844,0.024605809890746896,1.0541114065252233,0.7158028439986104,1.6493331995739848,1.3917729469429787
1,ZTF18aabstmw,ZTF18aabstmw_20180307_SEDm_0_dereddened.csv,0.02308648,-6.750250680001045,-15705.645161290318,-6673.38709677419,-1.1878625993531584,0.029592552084080657,-1.1883029259923763,0.029592552084080657,0.004349314963282596,0.0028810292436930902,23.83646052732066,3.6682656459497727,23.832023569453433,3.6682656459497727,1.0067175424249128,1.2377960192392765,21.985690774052127,4.496400072472897,1.86801647638545,1.2192343098414422,0.46935784163564154,0.08082785774807795,0.46749731767299685,0.08082785774807795,89.79032183393323,8.007662053922493,89.45397258098637,8.007662053922493,3.229034781648958,2.956588000532076,0.04991046103788539,0.04973246488860352,4.86899365041502,4.658770858716794,8.634194646342468,8.536044996057628
2,ZTF18aasprui,ZTF18aasprui_20180804_P200_0_dereddened.csv,0.0380507,-13.543841719998454,-14435.483870967735,-6955.645161290318,-1.2834035288947279,10.364018836867128,-1.172221358088661,10.364018836867128,0.8349774407551254,0.28741585994725743,113.31530991245637,221.46562507853977,1.4476074704777262,221.46562507853977,0.4421123149024958,1708.714081157464,1.2228904167692165,30.43042847507906,0.3727147150711522,2.5417961650418412,0.4240696468660269,10.650824577130082,0.018919622523513757,10.650824577130082,78.6348151221923,2731.868902323569,3.647838772081741,2731.868902323569,1.077905418865468,179.95043089569367,10.4175994237856,10.388003391564158,30.432710911710334,30.536399671891967,2731.869114976534,2737.7892280199594
4,ZTF18aauizcr,ZTF18aauizcr_20180519_SEDm_0_dereddened.csv,0.03391415,-9.11375088999921,-19374.999999999996,-8931.45161290322,-1.4677183083247871,0.01822261967941896,-1.4684401705217938,0.01822261967941896,0.00042421213310460864,0.001438842187173477,13.765181234421107,1.42899481518292,13.745139121456482,1.42899481518292,0.365767853968683,0.234052485194626,13.643734117706927,1.587791429524276,0.3907456663991693,0.24637719131877303,0.42683261380495996,0.047481536817052764,0.42512029949584207,0.047481536817052764,80.96159199779025,4.887928695974335,80.63663446862574,4.887928695974335,0.8792462481345161,1.1563690540950868,0.03822755671818416,0.03827933627953535,1.6351647621816203,1.6067928752869398,4.9663790533735925,5.022851413908053
5,ZTF18aaxdrjn,ZTF18aaxdrjn_20180531_SEDm_0_dereddened.csv,0.03388557,-10.18727019999642,-14294.354838709674,-6814.51612903225,-1.2109680542440464,0.015608728939379672,-1.2113697663026395,0.015608728939379672,0.0012709073040365394,0.002789332099959063,13.860357626106165,14.61788831478132,13.65463859719601,14.61788831478132,1.3902829783259207,0.9374484476342889,13.57173127272831,10.884973271286643,2.6211712458013126,1.0551699467045013,0.17437109906085588,0.03479774932155993,0.1721077000275535,0.03479774932155993,33.33312954034775,4.220864717164932,32.9004550857635,4.220864717164932,7.768844958423573,3.2159173906100027,0.03566038391861713,0.035856001786922526,11.19612351738048,10.935996833076215,8.841416795323653,5.306394597448973
6,ZTF18aaxdrjn,ZTF18aaxdrjn_20180603_LT_0_dereddened.csv,0.03388557,-7.187270199996419,-14858.870967741932,-3991.9354838709614,-1.1250551262047597,0.028631593541126415,-1.1230485549355702,0.028631593541126415,0.005335224927761363,0.0022861690031109865,23.638640628561205,2.498076525312849,23.88357523943076,2.498076525312849,0.893825332863024,0.9230120070231688,22.25672487691646,2.32305063466573,1.5058936288953904,0.7150417514593376,0.6277763528016169,0.07841265312415927,0.6316180316157287,0.07841265312415927,120.33298599833952,7.75959324202563,121.09577988838373,7.75959324202563,3.6817129794361367,2.4449989958095637,0.04912443602430917,0.04872272127454252,2.7684435830929583,2.430606705650029,8.588730857620254,8.135681125216228
7,ZTF18aazgfkq,ZTF18aazgfkq_20180613_Xinglong-2.2m_0_dereddened.csv,0.02404901,-6.532848299997568,-12177.419354838705,-6108.870967741932,-1.09244998205478,0.01786222887080291,-1.0797054582438292,0.01786222887080291,0.31591305382431517,0.07020956767836643,150.70537651423314,3.2951295443485717,8.91784435584622,3.2951295443485717,1.4045211523040453,3186.5016596840164,8.500352276709048,4.836369409276823,1.7132533407968573,2.015791250666072,0.18940778452400173,0.06177237084130116,0.14427689150148248,0.06177237084130116,36.15715369413351,4.848920408693524,27.693603326486482,4.848920408693524,3.6925545332342384,49.09899559092134,0.3364176303508349,0.09244613594813779,5.130858219902421,5.239645353385144,6.0948329026113015,49.33784953934614
8,ZTF18aazixbw,ZTF18aazixbw_20180611_Gemini-N_0_dereddened.csv,0.05910831,-11.934177700000872,-20221.77419354838,-6108.870967741932,-1.3057121480451475,0.014653033790497748,-1.3040113822273056,0.014653033790497748,0.00693085463196384,0.003948729434042674,37.75890365207593,2.4815633905346033,37.20174515989946,2.4815633905346033,1.8734258390841325,2.607020675556413,37.12788741285053,2.9773924372031817,1.8435115337391774,2.4953924477318004,0.5314912963557183,0.03874773768742503,0.5273364125916937,0.03874773768742503,101.31081318258698,3.948760356036592,100.51553057379397,3.948760356036592,3.5722173431834054,4.085303618984123,0.03620950786405569,0.0351757656613676,3.5019138339119764,3.884822929466877,5.324795310276869,5.681761523391404
9,ZTF18aazixbw,ZTF18aazixbw_20180611_NOT_0_dereddened.csv,0.05910831,-11.934177700000872,-14576.612903225803,-5685.483870967735,-1.2781866247895195,0.033979609983694196,-1.2718738216575898,0.033979609983694196,0.039838825997738136,0.055729009094525356,27.87755637993073,5.694262053101496,28.011598298313654,5.694262053101496,2.4371860894968638,2.8200403077280263,24.728952965296834,7.230238525586962,3.390128736944759,2.596901672713966,0.46347832904888164,0.10216493204901593,0.46144585509942426,0.10216493204901593,88.41376639398679,9.171305044883137,88.00442088752334,9.171305044883137,6.909408468806852,7.3882753286613045,0.07236168400196871,0.0852712520892748,7.985569609610864,7.6824636305436895,11.48271577698929,11.777073004715739
10,ZTF18abnzocn,ZTF18abnzocn_20180821_P200_0_dereddened.csv,0.03065788,-9.76375564999762,-13729.838709677417,-6673.38709677419,-1.116235607550485,0.012910125376001318,-1.1071970889045957,0.012910125376001318,0.02510161876327782,0.011175750096033938,11.350338556429556,1.0247490495599305,11.825252928078921,1.0247490495599305,1.8865475745153173,1.2075332003673371,11.21319951230215,1.4908856297004611,1.8742082173674497,0.8266321501190591,0.3937069887400518,0.040915958472614956,0.41588125909217444,0.040915958472614956,75.49645962961817,3.49426146165911,79.81930894894731,3.49426146165911,14.162024485991997,5.6912030866827985,0.04822698357531343,0.03707538366869324,2.394868765276088,1.7047171825431335,14.586733722950898,6.678297368064998
