,filename,ztfname,phase,redshift,v_x1_5972,v_x2_5972
0,ZTF18aabstmw_20180307_LCO-FLOYDS_0_dereddened.csv,ZTF18aabstmw,-6.750250680001045,0.02308648,-19092.741935483864,-3850.8064516128943
1,ZTF18aabstmw_20180307_SEDm_0_dereddened.csv,ZTF18aabstmw,-6.750250680001045,0.02308648,-16411.290322580637,-4415.322580645152
2,ZTF18aasprui_20180804_P200_0_dereddened.csv,ZTF18aasprui,-13.543841719998454,0.0380507,-14576.612903225803,-3850.8064516128943
3,ZTF18aauizcr_20180519_APO_0_dereddened.csv,ZTF18aauizcr,-9.11375088999921,0.03391415,-19374.999999999993,-6673.38709677419
4,ZTF18aauizcr_20180519_SEDm_0_dereddened.csv,ZTF18aauizcr,-9.11375088999921,0.03391415,-19516.12903225806,-8649.193548387091
5,ZTF18aaxdrjn_20180531_SEDm_0_dereddened.csv,ZTF18aaxdrjn,-10.18727019999642,0.03388557,-14294.354838709674,-6673.38709677419
6,ZTF18aaxdrjn_20180603_LT_0_dereddened.csv,ZTF18aaxdrjn,-7.187270199996419,0.03388557,-15987.903225806447,-3568.5483870967655
7,ZTF18aazgfkq_20180613_Xinglong-2.2m_0_dereddened.csv,ZTF18aazgfkq,-6.532848299997568,0.02404901,-15141.12903225806,-2580.6451612903184
8,ZTF18aazixbw_20180611_Gemini-N_0_dereddened.csv,ZTF18aazixbw,-11.934177700000872,0.05910831,-20362.903225806447,-5544.354838709674
9,ZTF18aazixbw_20180611_NOT_0_dereddened.csv,ZTF18aazixbw,-11.934177700000872,0.05910831,-19233.870967741932,-5403.225806451606
10,ZTF18abnzocn_20180821_P200_0_dereddened.csv,ZTF18abnzocn,-9.76375564999762,0.03065788,-14012.096774193546,-4415.322580645152
11,ZTF18absnqyo_20180908_SEDm_0_dereddened.csv,ZTF18absnqyo,-5.100248729999294,0.03861004,-17963.70967741935,-10483.870967741932
12,ZTF18abupgql_20180913_P200_0_dereddened.csv,ZTF18abupgql,-10.15270235999924,0.0462104,-16975.806451612894,-4556.45161290322
13,ZTF18abvejbm_20180912_P200_0_dereddened.csv,ZTF18abvejbm,-12.705234879998898,0.04416009,-16411.290322580637,-7661.290322580637
14,ZTF18abvejbm_20180914_SEDm_0_dereddened.csv,ZTF18abvejbm,-10.705234879998898,0.04416009,-17963.70967741935,-8084.677419354834
15,ZTF18abvejbm_20180915_NTT_0_dereddened.csv,ZTF18abvejbm,-9.705234879998898,0.04416009,-16834.677419354834,-5544.354838709674
16,ZTF18acbvgqw_20181104_SEDm_0_dereddened.csv,ZTF18acbvgqw,-12.614274049999947,0.00884722,-21915.32258064516,-8649.193548387091
17,ZTF18acbvgqw_20181109_Lick-3m_0_dereddened.csv,ZTF18acbvgqw,-7.614274049999949,0.00884722,-15141.12903225806,-9637.096774193546
18,ZTF18acehilk_20181108_SEDm_0_dereddened.csv,ZTF18acehilk,-9.705358109997178,0.03503777,-17399.19354838709,-8225.806451612894
19,ZTF18achbllm_20181113_SEDm_0_dereddened.csv,ZTF18achbllm,-8.466060020000441,0.04710716,-14294.354838709674,-6532.2580645161215
20,ZTF18achbllm_20181115_SEDm_0_dereddened.csv,ZTF18achbllm,-6.466060020000441,0.04710716,-21068.548387096766,-5826.612903225803
21,ZTF18acsyzca_20181206_LCO-FLOYDS_0_dereddened.csv,ZTF18acsyzca,-9.989981350001472,0.01424367,-19939.51612903225,-5826.612903225803
22,ZTF18acvrfvv_20181219_SEDm_0_dereddened.csv,ZTF18acvrfvv,-6.464255829996546,0.04133705,-18528.225806451606,-5262.096774193546
23,ZTF19aaafica_20190102_LT_0_dereddened.csv,ZTF19aaafica,-5.081311219997588,0.02306328,-11048.38709677419,-8649.193548387091
24,ZTF19aaddzpk_20190114_NTT_0_dereddened.csv,ZTF19aaddzpk,-7.895578869996825,0.05369276,-12883.064516129023,-6814.51612903225
25,ZTF19aakizps_20190209_NTT_0_dereddened.csv,ZTF19aakizps,-6.790099480000208,0.05514175,-16129.032258064508,-5685.483870967735
26,ZTF19aaklqod_20200214_SEDm_0_dereddened.csv,ZTF19aaklqod,-11.328497299997252,0.02995515,-11048.38709677419,-4556.45161290322
27,ZTF19aaklqod_20200219_Lick-3m_0_dereddened.csv,ZTF19aaklqod,-6.328497299997252,0.02995515,-11895.161290322576,-7943.5483870967655
28,ZTF19aanhgqg_20190325_SEDm_0_dereddened.csv,ZTF19aanhgqg,-8.146012270000938,0.02786203,-12883.064516129023,-5967.741935483864
29,ZTF19aanhgqg_20190326_SEDm_0_dereddened.csv,ZTF19aanhgqg,-7.146012270000938,0.02786203,-13024.193548387091,-5262.096774193546
30,ZTF19aauhwbp_20190513_SEDm_0_dereddened.csv,ZTF19aauhwbp,-8.052009090002684,0.03951246,-17399.19354838709,-14294.354838709674
31,ZTF19aavrswr_20190603_SEDm_0_dereddened.csv,ZTF19aavrswr,-8.495970730000408,0.03276714,-16270.161290322576,-4979.8387096774095
32,ZTF19abbvzgr_20190701_P200_0_dereddened.csv,ZTF19abbvzgr,-9.388364459999138,0.04959426,-14858.870967741932,-5120.9677419354775
33,ZTF19abbytxa_20190629_SNIFS_0_dereddened.csv,ZTF19abbytxa,-5.61972231999971,0.05063173,-16975.806451612894,-7661.290322580637
34,ZTF19abdrwsz_20190711_SEDm_0_dereddened.csv,ZTF19abdrwsz,-7.649118690002069,0.02615929,-17399.19354838709,-4697.580645161281
35,ZTF19abetjcx_20190708_SEDm_0_dereddened.csv,ZTF19abetjcx,-5.898953459996847,0.05713162,-18245.967741935478,-4133.064516129023
36,ZTF19abfvhlx_20190715_SEDm_0_dereddened.csv,ZTF19abfvhlx,-7.196212900002138,0.05646408,-15705.645161290318,-7661.290322580637
37,ZTF19abhpvfq_20190724_SEDm_0_dereddened.csv,ZTF19abhpvfq,-5.02303676000156,0.03356655,-17116.935483870962,-6955.645161290318
38,ZTF19abhxllw_20190723_Ekar_0_dereddened.csv,ZTF19abhxllw,-5.776163419999648,0.03430746,-16552.419354838705,-8084.677419354834
39,ZTF19abkgbul_20190801_SEDm_0_dereddened.csv,ZTF19abkgbul,-5.5298396599973785,0.03819309,-14294.354838709674,-4556.45161290322
40,ZTF19abpbmli_20190816_SEDm_0_dereddened.csv,ZTF19abpbmli,-5.036402990001079,0.0370363,-17822.580645161288,-4133.064516129023
41,ZTF19abrogbl_20190828_SEDm_0_dereddened.csv,ZTF19abrogbl,-7.251934129999427,0.035788,-14717.741935483864,-6108.870967741932
42,ZTF19abxfhrq_20190910_SEDm_0_dereddened.csv,ZTF19abxfhrq,-8.383954780001659,0.03311112,-11471.77419354838,-6108.870967741932
43,ZTF19abyjjxp_20190914_SEDm_0_dereddened.csv,ZTF19abyjjxp,-6.137513840003521,0.02441079,-14012.096774193546,-5544.354838709674
44,ZTF19abzlsbl_20190921_SEDm_0_dereddened.csv,ZTF19abzlsbl,-5.63650133000192,0.03402776,-18528.225806451606,-2862.903225806447
45,ZTF19abzmnuk_20190924_SEDm_0_dereddened.csv,ZTF19abzmnuk,-6.492899199998647,0.03953882,-16693.548387096766,-4415.322580645152
46,ZTF19acjwqvo_20191104_SEDm_0_dereddened.csv,ZTF19acjwqvo,-7.886508520001371,0.052473,-14576.612903225803,-9072.58064516128
