,ztfname,File Name,Dereddened File Name,Date of spectrum,MJD of spectrum,t0,Phase of spectrum,t0_err,z,z_err,x1,x1_err,MWEBV,MWEBV_err,SN Type,SN Sub Type
34,ZTF19abdrwsz,ZTF19abdrwsz_20190711_SEDm_0.ascii,ZTF19abdrwsz_20190711_SEDm_0_dereddened.csv,20190711,58675.0,58682.64911869,-7.649118690002069,0.15908394,0.02615929,0.0,-1.7771231,0.09023459,0.0553984,0.0,snia-cosmo,norm
35,ZTF19abetjcx,ZTF19abetjcx_20190708_SEDm_0.ascii,ZTF19abetjcx_20190708_SEDm_0_dereddened.csv,20190708,58672.0,58677.89895346,-5.8989534599968465,0.22114238,0.05713162,0.0,-1.96762562,0.30709869,0.07073822,0.0,snia-cosmo,norm
36,ZTF19abfvhlx,ZTF19abfvhlx_20190715_SEDm_0.ascii,ZTF19abfvhlx_20190715_SEDm_0_dereddened.csv,20190715,58679.0,58686.1962129,-7.196212900002138,0.16430689,0.05646408,0.0,-1.53672288,0.17781114,0.03595405,0.0,snia-cosmo,norm
37,ZTF19abhpvfq,ZTF19abhpvfq_20190724_SEDm_0.ascii,ZTF19abhpvfq_20190724_SEDm_0_dereddened.csv,20190724,58688.0,58693.02303676,-5.02303676000156,0.2502421,0.03356655,0.0,-2.04846228,0.37020109,0.04093061,0.0,snia-cosmo,norm
38,ZTF19abhxllw,ZTF19abhxllw_20190723_Ekar_0.ascii,ZTF19abhxllw_20190723_Ekar_0_dereddened.csv,20190723,58687.0,58692.77616342,-5.776163419999648,0.2382322,0.03430746,0.0,-2.16169891,0.17814069,0.08793637,0.0,snia-cosmo,norm
39,ZTF19abkgbul,ZTF19abkgbul_20190801_SEDm_0.ascii,ZTF19abkgbul_20190801_SEDm_0_dereddened.csv,20190801,58696.0,58701.52983966,-5.5298396599973785,0.20019959,0.03819309,0.0,-2.05708432,0.17052965,0.36895283,0.0,snia-cosmo,norm
40,ZTF19abpbmli,ZTF19abpbmli_20190816_SEDm_0.ascii,ZTF19abpbmli_20190816_SEDm_0_dereddened.csv,20190816,58711.0,58716.03640299,-5.036402990001079,0.2192958,0.0370363,0.0,-2.67583585,0.27737972,0.03681948,0.0,snia-cosmo,norm/04gs
41,ZTF19abrogbl,ZTF19abrogbl_20190828_SEDm_0.ascii,ZTF19abrogbl_20190828_SEDm_0_dereddened.csv,20190828,58723.0,58730.25193413,-7.251934129999427,0.08778997,0.035788,0.0,-1.63889294,0.0854943,0.15507994,0.0,snia-cosmo,norm
42,ZTF19abxfhrq,ZTF19abxfhrq_20190910_SEDm_0.ascii,ZTF19abxfhrq_20190910_SEDm_0_dereddened.csv,20190910,58736.0,58744.38395478,-8.383954780001659,0.07976398,0.03311112,0.0,-2.24650653,0.10288981,0.04017505,0.0,snia-cosmo,norm
43,ZTF19abyjjxp,ZTF19abyjjxp_20190914_SEDm_0.ascii,ZTF19abyjjxp_20190914_SEDm_0_dereddened.csv,20190914,58740.0,58746.13751384,-6.137513840003521,0.14920993,0.02441079,0.0,-1.78267821,0.09953009,0.12583127,0.0,snia-cosmo,norm
44,ZTF19abzlsbl,ZTF19abzlsbl_20190921_SEDm_0.ascii,ZTF19abzlsbl_20190921_SEDm_0_dereddened.csv,20190921,58747.0,58752.63650133,-5.63650133000192,0.111331,0.03402776,0.0,-2.46548843,0.15691197,0.06751644,0.0,snia-pec,91bg
45,ZTF19abzmnuk,ZTF19abzmnuk_20190924_SEDm_0.ascii,ZTF19abzmnuk_20190924_SEDm_0_dereddened.csv,20190924,58750.0,58756.4928992,-6.4928991999986465,0.14890231,0.03953882,0.0,-1.77781418,0.18904023,0.03700697,0.0,snia,
46,ZTF19acjwqvo,ZTF19acjwqvo_20191104_SEDm_0.ascii,ZTF19acjwqvo_20191104_SEDm_0_dereddened.csv,20191104,58791.0,58798.88650852,-7.886508520001371,0.11672123,0.052473,0.0,-1.56984893,0.17662668,0.13727106,0.0,snia-cosmo,norm
47,ZTF19acjwqvo,ZTF19acjwqvo_20191105_SEDm_0.ascii,ZTF19acjwqvo_20191105_SEDm_0_dereddened.csv,20191105,58792.0,58798.88650852,-6.886508520001371,0.11672123,0.052473,0.0,-1.56984893,0.17662668,0.13727106,0.0,snia-cosmo,norm
48,ZTF19aclofmz,ZTF19aclofmz_20191105_SEDm_0.ascii,ZTF19aclofmz_20191105_SEDm_0_dereddened.csv,20191105,58792.0,58800.85388111,-8.853881110000657,0.07265205,0.030792,0.0,-1.97543438,0.09840623,0.07004175,0.0,snia-cosmo,norm
49,ZTF19acnkeji,ZTF19acnkeji_20191107_SEDm_0.ascii,ZTF19acnkeji_20191107_SEDm_0_dereddened.csv,20191107,58794.0,58802.4637625,-8.463762500003213,0.0885026,0.03527515,0.0,-1.81447229,0.13884477,0.24035061,0.0,snia-cosmo,norm
50,ZTF19acoxgqw,ZTF19acoxgqw_20191109_SEDm_0.ascii,ZTF19acoxgqw_20191109_SEDm_0_dereddened.csv,20191109,58796.0,58803.69077457,-7.69077457000094,0.33668629,0.0322677,0.0,-4.29010167,0.76259183,0.35127311,0.0,snia-cosmo,norm
51,ZTF19acqehbt,ZTF19acqehbt_20191112_SEDm_0.ascii,ZTF19acqehbt_20191112_SEDm_0_dereddened.csv,20191112,58799.0,58810.00000066,-11.000000660002115,0.48671145,0.05522577,0.0,-1.98351964,0.19637407,0.026113,0.0,snia-cosmo,norm
52,ZTF19acynije,ZTF19acynije_20191220_LT_0.ascii,ZTF19acynije_20191220_LT_0_dereddened.csv,20191220,58837.0,58844.47500087,-7.475000869999349,0.12739076,0.01908516,0.0,-2.19147751,0.10872104,0.05312443,0.0,snia,91bg/86G
53,ZTF19aczeomw,ZTF19aczeomw_20191220_NTT_0.ascii,ZTF19aczeomw_20191220_NTT_0_dereddened.csv,20191220,58837.0,58845.60146915,-8.601469150002231,0.08703715,0.03583326,0.0,-2.26571246,0.14076484,0.286042,0.0,snia-cosmo,norm
54,ZTF19adcdgca,ZTF19adcdgca_20200102_SEDm_0.ascii,ZTF19adcdgca_20200102_SEDm_0_dereddened.csv,20200102,58850.0,58855.93211756,-5.932117559998005,0.09468677,0.04677729,0.0,-1.91132274,0.10129314,0.01595987,0.0,snia,
55,ZTF20aaaxacu,ZTF20aaaxacu_20200102_LT_0.ascii,ZTF20aaaxacu_20200102_LT_0_dereddened.csv,20200102,58850.0,58860.70037485,-10.700374849999207,0.16818415,0.02208516,0.0,-2.12491706,0.10516627,0.0334154,0.0,snia-cosmo,norm
56,ZTF20aacevxq,ZTF20aacevxq_20200107_SEDm_0.ascii,ZTF20aacevxq_20200107_SEDm_0_dereddened.csv,20200107,58855.0,58864.30983641,-9.309836410000571,0.12663519,0.02082774,0.0,-2.15486007,0.1189481,0.17697899,0.0,snia-cosmo,norm
57,ZTF20aahqbib,ZTF20aahqbib_20200128_SEDm_0.ascii,ZTF20aahqbib_20200128_SEDm_0_dereddened.csv,20200128,58876.0,58882.43471836,-6.434718359996623,0.15995462,0.05558274,0.0,-2.074461,0.18099195,0.02720697,0.0,snia-cosmo,norm
58,ZTF20aakzezp,ZTF20aakzezp_20200104_NTT_0.ascii,ZTF20aakzezp_20200104_NTT_0_dereddened.csv,20200104,58852.0,58867.72677301,-15.726773009999306,9.74182231,0.04783474,0.0,-3.93399547,5.31660239,0.0618834,0.0,snia-cosmo,norm
59,ZTF20aamkyyx,ZTF20aamkyyx_20200214_SEDm_0.ascii,ZTF20aamkyyx_20200214_SEDm_0_dereddened.csv,20200214,58893.0,58898.00168934,-5.0016893400024856,0.152743,0.04968179,0.0,-2.12772278,0.17731078,0.01780658,0.0,snia-cosmo,norm/04gs
60,ZTF20aammhli,ZTF20aammhli_20200211_SEDm_0.ascii,ZTF20aammhli_20200211_SEDm_0_dereddened.csv,20200211,58890.0,58899.72151786,-9.721517860001768,0.11276399,0.02427873,0.0,-2.17205702,0.16506776,0.03430613,0.0,snia-pec,91bg
61,ZTF20aammhli,ZTF20aammhli_20200213_Lick-3m_0.ascii,ZTF20aammhli_20200213_Lick-3m_0_dereddened.csv,20200213,58892.0,58899.72151786,-7.721517860001768,0.11276399,0.02427873,0.0,-2.17205702,0.16506776,0.03430613,0.0,snia-pec,91bg
62,ZTF20aaodkvl,ZTF20aaodkvl_20200217_SEDm_0.ascii,ZTF20aaodkvl_20200217_SEDm_0_dereddened.csv,20200217,58896.0,58905.55011068,-9.550110680000216,0.19382668,0.0251175,0.0,-1.93277612,0.23073378,0.0279359,0.0,snia-cosmo,norm
63,ZTF20aapcmur,ZTF20aapcmur_20200225_SEDm_0.ascii,ZTF20aapcmur_20200225_SEDm_0_dereddened.csv,20200225,58904.0,58910.19259237,-6.192592369996419,0.22628809,0.04221969,0.0,-1.69204812,0.2502076,0.04164396,0.0,snia-cosmo,norm
64,ZTF20aatvzmm,ZTF20aatvzmm_20200331_SEDm_0.ascii,ZTF20aatvzmm_20200331_SEDm_0_dereddened.csv,20200331,58939.0,58945.79553053,-6.795530529998359,0.15658782,0.03151248,0.0,-2.37421032,0.16333066,0.04247155,0.0,snia-cosmo,norm
