filename,ztfname,phase,V_Sil_5972_median,pEW_Sil_5972_median_trap,FWHMA_Sil_5972_median,V_sil_5972_err_final_low,V_sil_5972_err_final_high,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final,est_pEW_5972,New_Type
ZTF18aavsilo_20200523_SEDm_0.ascii,ZTF18aavsilo,3.8571525058679,,,,,,,,,,5.77,SN Ia
ZTF18aawdpnm_20180605_SEDm_0.ascii,ZTF18aawdpnm,1.16700661264709,-1.186,10.084,133.494,0.022,0.026,0.764,0.202,5.95,5.782,,normal
ZTF18aawmxdx_20181216_SEDm_0.ascii,ZTF18aawmxdx,-3.35845007027897,-1.226,9.109,69.812,0.021,0.021,0.58,0.95,4.254,4.544,,normal
ZTF18aaxcntm_20180613_APO_0.ascii,ZTF18aaxcntm,2.81348946772383,-1.279,9.046,119.651,0.02,0.02,0.929,0.732,7.562,5.007,,normal
ZTF18aaxxfah_20180608_SEDm_0.ascii,ZTF18aaxxfah,2.29143747932393,,,,,,,,,,10.09,normal
ZTF18aazsabq_20180621_SEDm_0.ascii,ZTF18aazsabq,-3.81614575230095,-1.026,18.749,168.354,0.028,0.03,1.471,0.644,6.446,11.422,,normal
ZTF18aazxthg_20180620_SEDm_0.ascii,ZTF18aazxthg,-1.06039331917708,-0.909,11.053,136.982,0.064,0.064,0.259,0.126,4.053,9.455,,normal
ZTF18abakjgq_20180624_SEDm_0.ascii,ZTF18abakjgq,-3.87766829654092,,,,,,,,,,10.89,normal
ZTF18abauprj_20180704_NOT_0.ascii,ZTF18abauprj,0.953795613787444,-1.337,9.333,120.452,0.022,0.023,0.567,0.684,3.002,2.995,,normal
ZTF18abbikrz_20200726_SEDm_0.ascii,ZTF18abbikrz,-1.95903004934993,,,,,,,,,,20.324,SN Ia
ZTF18abbvsiv_20180624_SEDm_0.ascii,ZTF18abbvsiv,-3.69182464383213,-1.007,27.381,145.087,0.022,0.024,2.321,2.41,5.015,6.626,,normal
ZTF18abcrzce_20180418_SEDm_0.ascii,ZTF18abcrzce,4.11657143880966,-1.301,17.087,137.183,0.02,0.023,1.19,0.289,3.296,6.167,,SN Ia
ZTF18abcscfv_20180327_NTT_0.ascii,ZTF18abcscfv,-1.72154178191414,-0.909,10.167,158.414,0.068,0.071,1.448,0.949,15.425,7.833,,normal
ZTF18abcvush_20180704_SEDm_0.ascii,ZTF18abcvush,0.132664079759803,-1.093,17.704,97.001,0.023,0.021,1.325,0.856,4.022,4.277,,normal
ZTF18abdcfgz_20180703_SEDm_0.ascii,ZTF18abdcfgz,-4.46437468117039,,,,,,,,,,9.508,normal
ZTF18abdfaqi_20180709_SEDm_0.ascii,ZTF18abdfaqi,-1.99971022440208,,,,,,,,,,3.821,normal
ZTF18abebzog_20180711_SEDm_0.ascii,ZTF18abebzog,-4.84967724692776,-1.082,3.282,56.195,0.063,0.063,0.159,0.003,1.927,1.927,,SN Ia
ZTF18abespgb_20180715_SEDm_0.ascii,ZTF18abespgb,-3.95179489676272,-1.163,5.822,60.298,0.063,0.063,0.525,0.102,3.74,1.554,,normal
ZTF18abhbqbh_20200608_LT_0.ascii,ZTF18abhbqbh,3.45749811001005,-1.239,7.917,138.478,0.024,0.03,0.815,0.363,8.104,6.179,,SN Ia
ZTF18abixkdo_20180730_SEDm_0.ascii,ZTF18abixkdo,0.154312886129109,-1.008,39.162,114.0,0.02,0.02,1.189,0.714,2.197,1.299,,86G-like
ZTF18abjgyyr_20180801_SEDm_0.ascii,ZTF18abjgyyr,-1.75334321586804,,,,,,,,,,9.202,normal
ZTF18abjhack_20180625_SEDm_0.ascii,ZTF18abjhack,0.486898624543782,,,,,,,,,,5.326,normal
ZTF18abjrfqx_20180804_NTT_0.ascii,ZTF18abjrfqx,-3.96950090243358,-0.913,20.385,91.806,0.063,0.063,0.566,0.615,1.868,2.241,,normal
ZTF18abjvzxx_20180802_SEDm_0.ascii,ZTF18abjvzxx,0.698787573633663,-1.255,10.526,93.88,0.022,0.023,0.678,0.947,3.941,7.78,,normal
ZTF18abltdfj_20180811_SEDm_0.ascii,ZTF18abltdfj,0.970512347534836,-0.837,34.518,127.329,0.024,0.024,1.492,0.686,4.449,2.163,,91bg-like
ZTF18abltebf_20180511_NTT_0.ascii,ZTF18abltebf,-1.14896233301242,-0.932,24.419,105.477,0.025,0.024,3.441,3.417,10.624,8.91,,normal
ZTF18ablwtkf_20180813_SEDm_0.ascii,ZTF18ablwtkf,-4.18230849628911,-1.018,24.522,90.82,0.025,0.022,0.742,0.34,1.903,1.022,,86G-like
ZTF18abmjcbs_20180823_SEDm_0.ascii,ZTF18abmjcbs,3.67370532077538,-1.021,31.024,127.122,0.064,0.063,1.575,0.657,4.088,1.176,,86G-like
ZTF18abmkaps_20180827_SEDm_0.ascii,ZTF18abmkaps,0.347373298362193,-1.008,7.471,140.393,0.025,0.022,0.841,0.567,8.894,10.668,,normal
ZTF18abmwnov_20180831_SEDm_0.ascii,ZTF18abmwnov,-3.86894395454426,-0.964,17.211,123.623,0.032,0.022,2.199,0.933,17.044,4.437,,normal
ZTF18abncdhd_20180820_SEDm_0.ascii,ZTF18abncdhd,2.89723008078531,-1.152,11.995,107.768,0.063,0.064,0.613,0.358,3.358,3.108,,normal
ZTF18abncimo_20180901_SEDm_0.ascii,ZTF18abncimo,-0.267619659004693,-1.21,10.124,75.777,0.02,0.02,0.894,0.541,4.267,2.851,,normal
ZTF18abntsgz_20180827_SEDm_0.ascii,ZTF18abntsgz,-2.77275959846891,,,,,,,,,,20.54,normal
ZTF18abnygkb_20180829_SEDm_0.ascii,ZTF18abnygkb,-0.637418029032589,,,,,,,,,,4.62,SN Ia
ZTF18abobkii_20180828_SEDm_0.ascii,ZTF18abobkii,-1.68203132454545,,,,,,,,,,3.448,SN Ia
ZTF18abosdwf_20180817_NOT_0.ascii,ZTF18abosdwf,-3.88717099366712,-1.209,5.903,68.072,0.021,0.021,0.734,0.289,8.511,4.416,,normal
ZTF18abotdef_20180907_SEDm_0.ascii,ZTF18abotdef,2.38903820084655,-0.967,11.798,161.107,0.064,0.064,1.004,0.614,4.537,7.142,,normal
ZTF18abrlupd_20180904_NOT_0.ascii,ZTF18abrlupd,-3.3517617205338,-1.085,14.188,90.769,0.025,0.022,1.291,1.106,6.182,5.735,,normal
ZTF18abrzeym_20180913_SEDm_0.ascii,ZTF18abrzeym,0.198069418011968,,,,,,,,,,12.712,normal
ZTF18absnqyo_20180915_Lick-3m_0.ascii,ZTF18absnqyo,1.82912854476974,,,,,,,,,,3.538,SN Ia
