filename,ztfname,phase,V_Sil_5972_median,pEW_Sil_5972_median_trap,FWHMA_Sil_5972_median,V_sil_5972_err_final_low,V_sil_5972_err_final_high,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final,est_pEW_5972,New_Type
ZTF19aarprog_20190513_SEDm_0.ascii,ZTF19aarprog,3.42916205184821,,,,,,,,,,4.928,91T-like
ZTF19aartuev_20190508_LT_0.ascii,ZTF19aartuev,3.12361717013316,-1.303,10.128,58.48,0.021,0.048,1.987,0.875,5.469,6.275,,normal
ZTF19aartuli_20190509_SEDm_0.ascii,ZTF19aartuli,0.670112054586768,,,,,,,,,,10.273,normal
ZTF19aartylj_20190510_LT_0.ascii,ZTF19aartylj,3.7171693673427500,-1.067,7.229,82.256,0.067,0.065,1.07,1.399,9.998,11.357,,normal
ZTF19aasfsoi_20190509_SEDm_0.ascii,ZTF19aasfsoi,4.4081889474472,,,,,,,,,,12.714,99aa-like
ZTF19aatgrxv_20190510_LT_0.ascii,ZTF19aatgrxv,-3.38243379947785,,,,,,,,,,17.489,normal
ZTF19aathcvn_20190513_SEDm_0.ascii,ZTF19aathcvn,-3.00702150807662,,,,,,,,,,14.009,99aa-like
ZTF19aatlmbo_20190514_Other_0.ascii,ZTF19aatlmbo,-2.02360722996437,-1.323,7.522,72.276,0.02,0.02,0.61,0.415,1.351,1.91,,normal
ZTF19aatnefp_20190511_SNIFS_0.ascii,ZTF19aatnefp,2.46194328379851,-0.984,10.28,77.377,0.024,0.021,0.868,1.458,5.21,9.441,,normal
ZTF19aatvkrn_20190511_SNIFS_0.ascii,ZTF19aatvkrn,0.339921163560963,-1.028,39.433,94.515,0.063,0.063,1.497,0.496,1.268,1.799,,04gs-like
ZTF19aatvljp_20190512_NTT_0.ascii,ZTF19aatvljp,0.641476724681456,-0.918,42.148,101.237,0.02,0.02,0.533,0.706,0.947,1.15,,04gs-like
ZTF19aauguzk_20190515_SEDm_0.ascii,ZTF19aauguzk,-4.29718637503045,,,,,,,,,,14.104,normal
ZTF19aaumvig_20190529_SEDm_0.ascii,ZTF19aaumvig,3.71600434913576,,,,,,,,,,10.559,normal
ZTF19aaupkrl_20190525_SEDm_0.ascii,ZTF19aaupkrl,-1.60015748661829,-0.899,13.673,147.997,0.027,0.025,1.432,1.591,9.393,8.248,,normal
ZTF19aavhxby_20190606_SEDm_0.ascii,ZTF19aavhxby,-1.30084990735785,-0.908,11.633,96.792,0.02,0.02,0.406,0.426,2.238,2.264,,normal
ZTF19aavhzsc_20190601_SEDm_0.ascii,ZTF19aavhzsc,-3.69469932044304,-1.088,31.756,100.798,0.02,0.02,1.245,0.664,2.625,1.322,,04gs-like
ZTF19aavissk_20190603_SEDm_0.ascii,ZTF19aavissk,0.532582281479884,-1.002,5.286,64.365,0.063,0.063,0.352,0.24,1.588,0.919,,normal
ZTF19aavmgtv_20190606_SEDm_0.ascii,ZTF19aavmgtv,1.94876895726223,-0.978,39.666,123.724,0.021,0.02,2.504,0.878,5.045,1.35,,04gs-like
ZTF19aavnwyt_20190608_SEDm_0.ascii,ZTF19aavnwyt,-2.55069573222004,-1.186,26.448,123.071,0.02,0.02,0.899,0.137,1.953,1.476,,normal
ZTF19aavxikq_20190609_SEDm_0.ascii,ZTF19aavxikq,-4.04920019983201,-1.06,10.332,87.696,0.025,0.022,0.743,0.242,2.954,1.703,,normal
ZTF19aawfcgp_20190605_SEDm_0.ascii,ZTF19aawfcgp,-4.49279434567836,-1.017,37.546,124.487,0.02,0.021,2.339,1.213,5.89,2.77,,SN Ia
ZTF19aawgfnn_20190607_SEDm_0.ascii,ZTF19aawgfnn,-3.38077800883383,-0.965,8.769,77.616,0.02,0.023,0.894,0.611,4.035,2.79,,normal
ZTF19aaxqsbn_20190618_SEDm_0.ascii,ZTF19aaxqsbn,1.79807474022631,,,,,,,,,,10.645,SN Ia
ZTF19aayabqe_20190613_SEDm_0.ascii,ZTF19aayabqe,-1.55487286912302,-1.036,34.703,101.243,0.025,0.022,0.925,0.834,1.934,2.119,,91bg-like
ZTF19ababigc_20190625_SEDm_0.ascii,ZTF19ababigc,-2.21555077994317,-1.047,16.007,102.726,0.063,0.063,1.086,0.302,3.35,1.063,,normal
ZTF19abadskf_20190703_Lick-3m_0.ascii,ZTF19abadskf,1.83494469192622,-1.082,10.909,78.408,0.021,0.021,0.686,0.79,3.326,4.511,,normal
ZTF19abalrbb_20190625_SEDm_0.ascii,ZTF19abalrbb,-1.11245608037693,-0.851,45.269,117.663,0.02,0.02,1.641,1.304,2.882,2.372,,91bg-like
ZTF19abasxkg_20190706_SEDm_0.ascii,ZTF19abasxkg,1.35690576914767,,,,,,,,,,8.445,normal
ZTF19abcttsc_20190711_SEDm_0.ascii,ZTF19abcttsc,-0.819855829203187,-1.022,33.301,105.254,0.063,0.063,1.452,1.527,2.952,3.036,,86G-like
ZTF19abdyawn_20190718_SEDm_0.ascii,ZTF19abdyawn,-3.6564731921449,-0.912,4.195,99.413,0.05,0.035,0.771,0.909,15.12,14.726,,normal
ZTF19abeizmo_20200131_SEDm_0.ascii,ZTF19abeizmo,3.96894565512687,,,,,,,,,,20.562,SN Ia
ZTF19abfhszx_20190724_SEDm_0.ascii,ZTF19abfhszx,-0.28090161892454,,,,,,,,,,6.314,normal
ZTF19abfibel_20190717_SEDm_0.ascii,ZTF19abfibel,-4.11380619056215,-1.085,5.656,87.922,0.021,0.024,0.784,0.634,20.25,5.426,,normal
ZTF19abfvhlx_20190724_SEDm_0.ascii,ZTF19abfvhlx,1.70738137958261,-1.086,6.26,62.316,0.025,0.022,0.522,0.118,4.434,2.482,,SN Ia
ZTF19abgjlef_20190721_SEDm_0.ascii,ZTF19abgjlef,-4.26608611634559,-1.108,21.864,145.372,0.024,0.022,1.639,0.162,13.232,1.858,,normal
ZTF19abgsyrp_20190729_NTT_0.ascii,ZTF19abgsyrp,-4.46965430157199,,,,,,,,,,20.57,normal
ZTF19abhdlxp_20190731_SEDm_0.ascii,ZTF19abhdlxp,2.26434617582853,,,,,,,,,,9.621,normal
ZTF19abhpvfq_20190724_SEDm_0.ascii,ZTF19abhpvfq,-4.85990646256154,-1.241,14.96,114.525,0.021,0.022,0.803,0.665,2.67,2.927,,normal
ZTF19abiahik_20190728_SEDm_0.ascii,ZTF19abiahik,-4.07079933063652,-1.043,46.483,116.898,0.02,0.021,2.282,0.942,3.702,1.304,,86G-like
ZTF19abidfxd_20190729_NTT_0.ascii,ZTF19abidfxd,-1.94642548451447,-1.009,17.52,139.761,0.063,0.063,0.042,0.064,0.051,0.086,,normal
ZTF19abimkwn_20190811_SEDm_0.ascii,ZTF19abimkwn,3.50079476120533,-1.096,6.719,90.826,0.066,0.078,1.135,0.81,15.622,16.052,,normal
ZTF19abioohk_20190730_NTT_0.ascii,ZTF19abioohk,2.96000283904919,-0.796,45.632,101.13,0.063,0.063,0.7,1.207,1.298,2.193,,91bg-like
ZTF19abjgbmo_20190808_SEDm_0.ascii,ZTF19abjgbmo,1.89910948934299,-0.972,9.087,60.571,0.02,0.02,0.821,0.407,3.078,1.154,,normal
ZTF19abjpkdz_20190808_SEDm_0.ascii,ZTF19abjpkdz,3.31347119427956,-0.964,34.104,127.884,0.021,0.022,2.283,1.646,7.933,4.176,,91bg-like
ZTF19abjslyw_20190808_SEDm_0.ascii,ZTF19abjslyw,-3.08608723178886,-0.875,17.14,58.727,0.022,0.02,0.911,3.139,1.896,7.789,,SN Ia
ZTF19abkbkxy_20180804_NTT_0.ascii,ZTF19abkbkxy,-0.591327816736404,-1.119,9.878,108.836,0.025,0.022,0.896,1.327,8.542,10.397,,normal
ZTF19abkbkyb_20180805_NTT_0.ascii,ZTF19abkbkyb,-2.73771713372459,-1.058,49.192,111.729,0.02,0.02,1.419,1.979,2.314,3.247,,86G-like
ZTF19ablovot_20190810_SEDm_0.ascii,ZTF19ablovot,-3.8311900839188,-0.95,15.858,123.147,0.02,0.021,0.615,0.79,2.699,2.791,,normal
ZTF19ablqnuw_20190809_P200_0.ascii,ZTF19ablqnuw,-2.10682045332571,,,,,,,,,,11.274,SN Ia
ZTF19ablusdf_20190810_SEDm_0.ascii,ZTF19ablusdf,-2.61483548961593,-1.195,44.774,118.85,0.02,0.02,1.655,1.533,2.578,2.094,,86G-like
ZTF19abmzord_20190813_SEDm_0.ascii,ZTF19abmzord,-3.80164042698387,-1.165,17.211,82.137,0.025,0.022,0.69,1.356,2.366,4.904,,normal
ZTF19abnoxud_20190813_SEDm_0.ascii,ZTF19abnoxud,-4.19595164587344,-0.991,52.986,146.479,0.02,0.02,0.493,0.88,1.24,1.133,,SN Ia
ZTF19abpbmli_20190816_SEDm_0.ascii,ZTF19abpbmli,-4.85653490987996,-1.084,55.174,132.01,0.021,0.02,2.555,0.424,4.596,0.432,,04gs-like
ZTF19abplfxs_20190825_SEDm_0.ascii,ZTF19abplfxs,-1.56472508475154,-0.92,8.193,70.999,0.021,0.021,0.452,0.622,3.354,7.289,,normal
ZTF19abpveqn_20190820_SEDm_0.ascii,ZTF19abpveqn,-0.592611624937558,-1.222,7.048,41.505,0.063,0.063,0.45,0.148,2.086,0.258,,normal
ZTF19abqgzea_20190830_SEDm_0.ascii,ZTF19abqgzea,1.36779931199374,,,,,,,,,,7.058,normal
ZTF19abqmpsr_20190826_Lick-3m_0.ascii,ZTF19abqmpsr,-4.8686279633849,-0.957,23.38,129.994,0.02,0.02,0.802,0.227,2.868,1.28,,normal
ZTF19abrcvzz_20190907_SEDm_0.ascii,ZTF19abrcvzz,1.82585880536472,-1.125,7.016,51.165,0.063,0.063,0.681,0.213,3.878,1.024,,normal
ZTF19abrogbl_20190901_SNIFS_0.ascii,ZTF19abrogbl,-3.13957502115065,-1.153,20.628,90.832,0.021,0.021,1.281,0.534,3.725,1.657,,normal
ZTF19abtsrup_20190907_NTT_0.ascii,ZTF19abtsrup,-2.85355226130576,,,,,,,,,,3.831,normal
ZTF19abttstb_20190907_SEDm_0.ascii,ZTF19abttstb,0.0334327410193067,,,,,,,,,,22.467,normal
ZTF19abuclhk_20190912_SEDm_0.ascii,ZTF19abuclhk,1.66178103193299,-1.183,12.21,111.405,0.021,0.022,0.676,1.436,4.639,5.613,,normal
ZTF19abucvgu_20190912_SEDm_0.ascii,ZTF19abucvgu,0.325785916248894,-1.103,14.691,107.569,0.064,0.064,0.933,0.305,3.896,2.211,,normal
ZTF19abujuex_20190910_SEDm_0.ascii,ZTF19abujuex,-1.71859996097079,,,,,,,,,,10.186,normal
ZTF19aburnqh_20190907_SEDm_0.ascii,ZTF19aburnqh,-4.39057119940758,-1.087,14.393,113.572,0.022,0.024,1.067,1.123,5.299,4.109,,normal
ZTF19abvvpoh_20190915_SEDm_0.ascii,ZTF19abvvpoh,-2.7407762038037,,,,,,,,,,9.946,99aa-like
ZTF19abwscog_20190911_SEDm_0.ascii,ZTF19abwscog,-1.08161745699635,,,,,,,,,,12.093,SN Ia
ZTF19abwswzb_20190919_LT_0.ascii,ZTF19abwswzb,-2.62150160655677,,,,,,,,,,13.474,99aa-like
ZTF19abxdnhr_20190921_SEDm_0.ascii,ZTF19abxdnhr,2.42787443309438,-1.094,9.28,82.879,0.031,0.022,0.947,1.419,3.849,9.66,,normal
ZTF19abxfhrq_20190918_LT_0.ascii,ZTF19abxfhrq,-0.371649059016014,-1.019,16.963,150.213,0.022,0.027,0.943,1.091,7.136,11.004,,SN Ia
ZTF19abxiqve_20190911_SEDm_0.ascii,ZTF19abxiqve,-1.94612473962255,-0.881,17.223,100.614,0.064,0.069,2.24,1.832,5.404,14.565,,normal
ZTF19abxtdgh_20190922_SEDm_0.ascii,ZTF19abxtdgh,-0.163511057899102,-1.128,5.189,87.56,0.02,0.02,0.258,0.035,1.688,0.812,,99aa-like
ZTF19abylxyt_20190923_SEDm_0.ascii,ZTF19abylxyt,0.589328349235533,,,,,,,,,,4.982,SN Ia
ZTF19abyreuq_20190915_SEDm_0.ascii,ZTF19abyreuq,-3.89265353157959,,,,,,,,,,7.179,99aa-like
ZTF19abywmqw_20190919_SEDm_0.ascii,ZTF19abywmqw,2.14358944023344,,,,,,,,,,26.34,normal
ZTF19abywqza_20190904_NTT_0.ascii,ZTF19abywqza,-2.41700939625706,,,,,,,,,,3.228,SN Ia
ZTF19abzmpku_20191001_SEDm_0.ascii,ZTF19abzmpku,-1.62182786294094,,,,,,,,,,3.169,99aa-like
ZTF19abzprpk_20190924_SEDm_0.ascii,ZTF19abzprpk,-0.0907771689922243,-1.094,7.518,92.338,0.02,0.021,0.145,0.099,1.898,0.709,,SN Ia
ZTF19abzulhk_20191001_SEDm_0.ascii,ZTF19abzulhk,-4.09351439646533,,,,,,,,,,13.743,normal
ZTF19acaqyjp_20191008_SEDm_0.ascii,ZTF19acaqyjp,-1.27863213506408,-0.982,4.926,93.801,0.025,0.022,0.131,0.076,1.65,1.823,,99aa-like
ZTF19acazbqm_20191011_LT_0.ascii,ZTF19acazbqm,2.08565795907213,-1.143,12.191,88.633,0.021,0.02,0.454,0.387,1.308,2.554,,normal
ZTF19acblzux_20191004_SEDm_0.ascii,ZTF19acblzux,0.272167474471517,-0.915,31.542,107.055,0.02,0.021,1.147,1.002,2.5,2.207,,91bg-like
ZTF19acbmddl_20191008_SEDm_0.ascii,ZTF19acbmddl,-4.54392316144782,-0.849,4.035,70.161,0.053,0.021,0.34,0.165,2.755,12.51,,91T-like
ZTF19acbpnii_20191015_SEDm_0.ascii,ZTF19acbpnii,2.1581002755634,-0.969,13.942,90.95,0.02,0.027,1.215,0.204,11.681,1.852,,normal
ZTF19acbvpjn_20191003_Lick-3m_0.ascii,ZTF19acbvpjn,0.195472173191044,-1.043,12.054,80.12,0.02,0.02,0.617,0.337,1.725,1.167,,normal
ZTF19acbykmk_20191015_SEDm_0.ascii,ZTF19acbykmk,0.443362789510528,,,,,,,,,,13.339,normal
ZTF19accloxh_20191007_SEDm_0.ascii,ZTF19accloxh,-2.12370557978824,-1.157,9.957,76.406,0.02,0.02,0.301,0.099,1.222,0.45,,normal
ZTF19acdisjm_20191011_SEDm_0.ascii,ZTF19acdisjm,-3.72551451864084,-1.222,26.879,62.535,0.02,0.021,1.542,1.499,3.69,3.869,,normal
ZTF19acdulhn_20191013_SEDm_0.ascii,ZTF19acdulhn,-4.85006362986074,,,,,,,,,,10.862,99aa-like
ZTF19acekbyz_20191023_SEDm_0.ascii,ZTF19acekbyz,1.04008832591019,-1.082,18.524,86.751,0.063,0.063,2.179,0.46,5.189,1.881,,normal
ZTF19acfsqjx_20191101_SEDm_0.ascii,ZTF19acfsqjx,1.38882984196257,,,,,,,,,,15.848,SN Ia
ZTF19acgcshq_20191026_SEDm_0.ascii,ZTF19acgcshq,-1.62412030844426,,,,,,,,,,13.891,SN Ia
ZTF19acgdfjt_20191023_APO_0.ascii,ZTF19acgdfjt,-3.54029486592889,-1.359,10.805,160.406,0.048,0.028,2.306,0.88,25.737,7.775,,SN Ia
ZTF19acgjnfz_20191104_APO_0.ascii,ZTF19acgjnfz,1.37386921843971,-1.221,9.243,121.742,0.031,0.024,0.948,0.976,7.288,8.113,,99aa-like
ZTF19acgogcm_20191101_SEDm_0.ascii,ZTF19acgogcm,-2.37186794120833,-1.123,8.031,54.532,0.025,0.022,0.079,0.377,0.47,4.493,,normal
ZTF19acgqjln_20191030_SEDm_0.ascii,ZTF19acgqjln,-4.24741498480646,,,,,,,,,,26.964,normal
ZTF19acgxbwo_20191101_SEDm_0.ascii,ZTF19acgxbwo,-2.29899718248823,-1.131,21.562,81.552,0.063,0.064,1.948,0.911,3.592,3.311,,SN Ia
ZTF19achahea_20191023_SEDm_0.ascii,ZTF19achahea,0.999779666956361,-0.946,32.99,84.54,0.02,0.02,0.53,0.348,1.264,0.882,,91bg-like
ZTF19achticg_20191103_SEDm_0.ascii,ZTF19achticg,3.91635775744027,-1.016,14.663,86.631,0.02,0.021,0.794,0.693,3.732,3.381,,normal
ZTF19acifuyf_20191105_SEDm_0.ascii,ZTF19acifuyf,-3.49728810397892,,,,,,,,,,11.601,normal
ZTF19acihfxz_20191107_SEDm_0.ascii,ZTF19acihfxz,0.892158673017522,-1.133,14.34,122.554,0.065,0.07,2.142,1.264,13.328,9.023,,normal
ZTF19acjdwqv_20191104_SEDm_0.ascii,ZTF19acjdwqv,-3.78714017401626,,,,,,,,,,7.527,99aa-like
ZTF19acjerdh_20191104_SNIFS_0.ascii,ZTF19acjerdh,-4.83817634883877,-1.209,13.569,61.811,0.065,0.063,1.148,2.721,4.303,11.911,,normal
ZTF19acjifxp_20191109_SEDm_0.ascii,ZTF19acjifxp,0.757642272134773,,,,,,,,,,3.057,normal
ZTF19acjtkha_20191107_SEDm_0.ascii,ZTF19acjtkha,0.858856126814294,-0.972,32.079,115.763,0.021,0.02,1.544,1.176,4.418,2.657,,SN Ia
ZTF19acjurot_20191108_SEDm_0.ascii,ZTF19acjurot,-3.91753065394736,,,,,,,,,,5.71,normal
ZTF19ackjmge_20191101_LT_0.ascii,ZTF19ackjmge,-2.86111873057539,-0.961,24.546,102.401,0.02,0.021,0.893,1.377,3.649,5.08,,normal
ZTF19ackjnuq_20191103_SEDm_0.ascii,ZTF19ackjnuq,-1.38400658172249,-1.074,5.288,87.009,0.02,0.024,0.216,0.544,0.493,5.516,,normal
ZTF19acnzkph_20191121_Lick-3m_0.ascii,ZTF19acnzkph,1.33077971863278,-0.914,3.551,34.346,0.02,0.02,0.276,0.212,2.848,2.288,,normal
ZTF19acrcupt_20191125_SEDm_0.ascii,ZTF19acrcupt,4.02454471730261,-0.955,12.496,97.14,0.021,0.02,0.908,1.062,4.146,5.223,,normal
ZTF19acshfvz_20191118_SEDm_1.ascii,ZTF19acshfvz,-1.7470066362916,,,,,,,,,,20.202,normal
ZTF19acslqnc_20191124_SEDm_0.ascii,ZTF19acslqnc,0.0465519836251625,-1.067,18.889,143.771,0.021,0.022,1.037,0.584,3.452,3.747,,normal
ZTF19acwrujg_20191213_SEDm_0.ascii,ZTF19acwrujg,1.37708958230123,,,,,,,,,,5.28,normal
ZTF19acxndsk_20191219_LT_0.ascii,ZTF19acxndsk,-4.93944173932014,-1.026,9.965,92.589,0.02,0.02,0.277,0.296,1.873,1.845,,normal
ZTF19acxowwt_20191216_SEDm_0.ascii,ZTF19acxowwt,0.694154954731267,,,,,,,,,,6.399,SN Ia
ZTF19acyksfd_20191228_LT_0.ascii,ZTF19acyksfd,4.93350955718028,-0.885,25.216,85.083,0.025,0.022,0.297,0.378,0.808,1.175,,normal
ZTF19acylgic_20191218_NTT_0.ascii,ZTF19acylgic,-2.94097081829478,,,,,,,,,,5.524,normal
ZTF19acyltbi_20191224_LT_0.ascii,ZTF19acyltbi,3.64972607855466,-1.136,14.294,145.214,0.065,0.065,1.286,1.089,5.953,6.745,,normal
ZTF19acymzwh_20191223_Lick-3m_0.ascii,ZTF19acymzwh,4.93674736075439,-1.092,12.864,124.367,0.021,0.022,0.673,0.737,3.823,3.314,,normal
ZTF19acynije_20191223_LT_0.ascii,ZTF19acynije,-4.39119422332776,-0.965,43.052,98.975,0.021,0.02,2.284,0.64,3.589,0.981,,86G-like
ZTF19acyogvo_20200101_SEDm_0.ascii,ZTF19acyogvo,3.95818876920561,-1.08,17.246,98.615,0.024,0.02,0.266,2.228,0.994,9.357,,normal
ZTF19adbnfne_20200112_LT_0.ascii,ZTF19adbnfne,-0.177477525016521,-1.01,5.316,42.422,0.02,0.02,0.253,0.362,1.687,2.824,,normal
ZTF19adbnlki_20200103_SEDm_0.ascii,ZTF19adbnlki,-4.48048895709235,-0.954,6.978,25.304,0.02,0.021,0.663,0.085,4.402,0.519,,normal
ZTF20aaactgu_20200116_SEDm_0.ascii,ZTF20aaactgu,-1.35452391064169,,,,,,,,,,5.721,99aa-like
ZTF20aabcouv_20200111_SEDm_0.ascii,ZTF20aabcouv,-0.450693391118022,,,,,,,,,,7.159,99aa-like
ZTF20aabqdbo_20200104_SEDm_0.ascii,ZTF20aabqdbo,-4.78340094622069,-1.051,25.77,157.144,0.024,0.02,1.069,1.916,2.359,10.122,,91bg-like
ZTF20aabrydh_20200117_NTT_0.ascii,ZTF20aabrydh,4.2496816232189,-1.185,4.101,63.77,0.022,0.021,0.354,0.363,4.739,3.466,,normal
ZTF20aacdfep_20200114_SEDm_0.ascii,ZTF20aacdfep,4.45895586377752,-1.047,21.504,116.787,0.029,0.02,2.665,0.951,9.336,4.103,,normal
ZTF20aacexgb_20200116_SEDm_0.ascii,ZTF20aacexgb,1.65587561057979,-1.036,21.437,145.081,0.064,0.064,1.261,1.311,6.937,4.917,,normal
ZTF20aadyukn_20200116_SEDm_0.ascii,ZTF20aadyukn,-2.74465872744857,,,,,,,,,,7.306,SN Ia
ZTF20aaeopvv_20200120_APO_0.ascii,ZTF20aaeopvv,1.8440398311773,-1.125,12.349,91.017,0.02,0.02,0.577,0.149,2.96,0.844,,normal
ZTF20aaeuxqk_20200121_LT_0.ascii,ZTF20aaeuxqk,-2.01183545856601,-1.063,21.736,102.714,0.064,0.063,1.463,0.448,3.107,1.57,,normal
ZTF20aafcjln_20200128_SEDm_0.ascii,ZTF20aafcjln,1.22788311961611,-1.291,4.821,98.464,0.021,0.021,0.291,0.262,3.745,2.97,,normal
ZTF20aafdeza_20200126_SEDm_0.ascii,ZTF20aafdeza,-0.116815339626763,-1.041,33.686,86.179,0.072,0.065,4.499,5.522,8.76,18.704,,SN Ia
ZTF20aafdglk_20200124_SEDm_0.ascii,ZTF20aafdglk,-2.29376995654879,,,,,,,,,,8.567,normal
ZTF20aaffgwg_20200124_SEDm_0.ascii,ZTF20aaffgwg,-1.16380500624489,-1.016,18.06,85.724,0.02,0.02,0.923,0.21,2.266,2.136,,normal
ZTF20aafjjqj_20200125_SEDm_0.ascii,ZTF20aafjjqj,-1.91436306727218,-0.905,12.002,123.864,0.023,0.02,0.715,0.496,4.221,3.955,,normal
ZTF20aaflaug_20200123_SEDm_0.ascii,ZTF20aaflaug,-0.40125275946885,-0.908,45.445,140.409,0.02,0.023,2.856,0.782,5.786,1.278,,91bg-like
ZTF20aafsnpp_20200126_SEDm_0.ascii,ZTF20aafsnpp,-1.9258089821974,-1.08,9.454,88.087,0.023,0.021,0.588,0.181,2.669,3.451,,normal
ZTF20aafvzhu_20200124_SEDm_0.ascii,ZTF20aafvzhu,-3.08940433259616,-1.111,13.475,88.883,0.021,0.021,1.251,0.655,2.929,2.877,,normal
ZTF20aagfjlj_20200123_SEDm_0.ascii,ZTF20aagfjlj,-2.30518862154928,-1.099,21.897,115.468,0.02,0.02,0.551,0.061,2.544,0.276,,normal
ZTF20aaghryk_20181230_NTT_0.ascii,ZTF20aaghryk,1.37625680487725,-0.991,8.087,82.649,0.021,0.021,0.897,0.284,4.312,2.562,,normal
ZTF20aagloch_20200126_SEDm_0.ascii,ZTF20aagloch,-1.32966928688223,-0.96,32.944,151.424,0.02,0.021,1.613,0.574,2.927,3.836,,SN Ia
ZTF20aagvvnr_20200127_SEDm_0.ascii,ZTF20aagvvnr,-1.17211863688046,-1.176,33.398,145.416,0.021,0.021,1.662,1.872,3.34,3.555,,04gs-like
ZTF20aahdwze_20200205_SEDm_0.ascii,ZTF20aahdwze,-1.43265487449942,-1.315,5.889,51.256,0.021,0.022,0.526,0.208,8.374,1.419,,normal
ZTF20aahkgcz_20200213_SEDm_0.ascii,ZTF20aahkgcz,2.55243231038278,-1.1,8.846,99.307,0.021,0.021,0.584,0.422,3.882,2.833,,normal
ZTF20aahmvfw_20200207_LT_0.ascii,ZTF20aahmvfw,0.424861733403125,-1.002,11.044,91.383,0.063,0.063,0.385,0.271,1.861,2.416,,normal
ZTF20aahpxzz_20200208_LT_0.ascii,ZTF20aahpxzz,4.24097928127268,,,,,,,,,,4.023,SN Ia
ZTF20aaiawlj_20200202_NTT_0.ascii,ZTF20aaiawlj,-2.02834932146482,,,,,,,,,,10.117,normal
ZTF20aaifyab_20200130_SEDm_0.ascii,ZTF20aaifyab,3.47795974288743,-1.33,20.891,121.75,0.02,0.025,1.02,0.299,3.513,1.973,,normal
ZTF20aaifyrs_20200129_SEDm_0.ascii,ZTF20aaifyrs,-4.54604598931041,-0.991,15.515,125.072,0.022,0.021,0.816,0.648,4.829,3.42,,normal
ZTF20aalbjpf_20200209_LT_0.ascii,ZTF20aalbjpf,-4.0626695503452,-0.939,13.128,104.603,0.064,0.064,0.997,1.326,4.509,5.74,,normal
ZTF20aamkyyx_20200214_SEDm_0.ascii,ZTF20aamkyyx,-4.76495771499776,-1.195,41.622,118.161,0.02,0.02,0.17,0.406,0.228,0.836,,04gs-like
ZTF20aanvpzo_20200221_NTT_0.ascii,ZTF20aanvpzo,-2.64087833622188,-1.044,35.087,105.831,0.021,0.02,1.492,1.08,3.589,2.658,,04gs-like
ZTF20aapadwx_20200226_NTT_0.ascii,ZTF20aapadwx,-3.87502011558901,-1.053,22.658,92.378,0.021,0.02,1.005,1.014,3.105,3.233,,normal
ZTF20aaqhtcd_20200303_SEDm_0.ascii,ZTF20aaqhtcd,-3.00503564346912,,,,,,,,,,8.065,normal
ZTF20aaqtebg_20200306_SEDm_0.ascii,ZTF20aaqtebg,-2.164705135884,-0.945,12.408,119.911,0.023,0.021,1.211,0.868,4.128,3.439,,normal
ZTF20aasdibr_20200309_SNIFS_0.ascii,ZTF20aasdibr,-3.95100174588935,-1.025,16.301,80.462,0.021,0.02,0.835,1.442,2.826,4.996,,normal
ZTF20aasitqe_20200315_NTT_0.ascii,ZTF20aasitqe,0.840929391224185,-1.18,8.743,65.071,0.064,0.063,1.103,1.315,7.189,8.261,,normal
ZTF20aasiwcu_20200305_SEDm_0.ascii,ZTF20aasiwcu,-3.61203000227468,-0.972,14.396,120.386,0.064,0.065,1.427,1.367,8.985,7.959,,normal
ZTF20aattotq_20200329_SEDm_0.ascii,ZTF20aattotq,-0.18556925173447,-1.017,34.702,116.515,0.02,0.02,0.375,0.759,1.379,1.719,,86G-like
ZTF20aattqbi_20200329_SEDm_0.ascii,ZTF20aattqbi,-4.9182263606596500,,,,,,,,,,6.125,99aa-like
ZTF20aatzwgk_20200411_Other_0.ascii,ZTF20aatzwgk,0.721808652275341,-0.936,35.782,91.313,0.02,0.02,1.817,0.358,3.323,0.7,,91bg-like
ZTF20aauombk_20200415_SEDm_0.ascii,ZTF20aauombk,-2.00866496689147,,,,,,,,,,3.113,99aa-like
ZTF20aauooag_20200416_SEDm_0.ascii,ZTF20aauooag,-0.670027692189977,,,,,,,,,,5.414,SN Ia
ZTF20aaupkac_20200416_SEDm_0.ascii,ZTF20aaupkac,3.41253597237519,-1.222,5.032,65.429,0.02,0.024,0.351,0.203,2.209,4.155,,normal
ZTF20aaurknv_20200417_SEDm_0.ascii,ZTF20aaurknv,-3.29004429564894,,,,,,,,,,9.174,normal
ZTF20aautscv_20200424_SEDm_0.ascii,ZTF20aautscv,1.43092160900715,-1.13,8.113,85.487,0.02,0.026,0.92,1.231,7.409,5.517,,normal
ZTF20aauuiri_20200425_SEDm_0.ascii,ZTF20aauuiri,1.04799300426488,-1.08,8.526,78.579,0.025,0.022,0.976,0.948,3.439,4.155,,normal
ZTF20aauwjmw_20200424_SEDm_0.ascii,ZTF20aauwjmw,-2.0519387833732,-0.913,21.828,91.009,0.021,0.02,1.04,0.312,3.574,0.981,,normal
ZTF20aavhire_20200423_SEDm_0.ascii,ZTF20aavhire,-1.53375641213685,-1.195,3.995,132.489,0.072,0.036,0.585,0.486,13.861,34.496,,normal
ZTF20aavnnkm_20200501_SEDm_0.ascii,ZTF20aavnnkm,-2.23732179104148,,,,,,,,,,7.564,normal
