Unnamed: 0,Dereddened File Name,ztfname,Phase of spectrum,z,wl_x1_Ti,wl_x2_Ti,integral,SNR
0,ZTF18aabstmw_20180307_LCO-FLOYDS_0_dereddened.csv,ZTF18aabstmw,-6.750250680001045,0.02308648,3907.911816379198,4474.179763441836,564.1103948808928,13.54196517579042
1,ZTF18aabstmw_20180307_SEDm_0_dereddened.csv,ZTF18aabstmw,-6.750250680001045,0.02308648,3897.230242121165,4485.888224765112,559.469473190507,11.290045324895218
2,ZTF18aauizcr_20180519_SEDm_0_dereddened.csv,ZTF18aauizcr,-9.11375088999921,0.03391415,3807.610401379444,4477.16250261828,644.4579233297284,12.078254798974427
3,ZTF18aaxdrjn_20180531_SEDm_0_dereddened.csv,ZTF18aaxdrjn,-10.18727019999642,0.03388557,3862.657546417581,4414.096311790875,530.6504140115286,5.562463153178336
4,ZTF18aaxdrjn_20180603_LT_0_dereddened.csv,ZTF18aaxdrjn,-7.187270199996419,0.03388557,4056.352788070466,4464.295288239528,399.8196663389801,4.540061411832244
5,ZTF18absnqyo_20180908_SEDm_0_dereddened.csv,ZTF18absnqyo,-5.100248729999294,0.03861004,4226.159458999708,4515.987376977345,267.40216319933126,10.665108157589506
6,ZTF18abupgql_20180913_P200_0_dereddened.csv,ZTF18abupgql,-10.15270235999924,0.0462104,3918.751444383493,4519.095845903123,598.7464054083435,5.55531659180523
7,ZTF18abvejbm_20180914_SEDm_0_dereddened.csv,ZTF18abvejbm,-10.705234879998898,0.04416009,4127.872631067243,4527.230618187967,386.9818421259182,4.560215794839507
8,ZTF18acbvgqw_20181104_SEDm_0_dereddened.csv,ZTF18acbvgqw,-12.614274049999947,0.00884722,4196.770473532764,4357.95365610144,150.27500054581017,7.18150812468779
9,ZTF18acehilk_20181108_SEDm_0_dereddened.csv,ZTF18acehilk,-9.705358109997178,0.03503777,4140.826378252875,4456.9103193638575,287.3256288622412,4.013456995185928
10,ZTF18achbllm_20181113_SEDm_0_dereddened.csv,ZTF18achbllm,-8.466060020000441,0.04710716,4115.987657243189,4532.863042957939,379.9422928573419,7.770291204028383
11,ZTF18achbllm_20181115_SEDm_0_dereddened.csv,ZTF18achbllm,-6.466060020000441,0.04710716,4045.030144781103,4458.9489674766,386.6871747147964,5.670120975116944
12,ZTF18acsyzca_20181206_LCO-FLOYDS_0_dereddened.csv,ZTF18acsyzca,-9.989981350001472,0.01424367,3863.703677253942,4472.433850153616,606.0679488859539,9.93524843739164
13,ZTF18acvrfvv_20181219_SEDm_0_dereddened.csv,ZTF18acvrfvv,-6.464255829996546,0.04133705,4069.448908857127,4507.012117858478,391.5386843717791,6.386020148954504
14,ZTF19aakizps_20190209_NTT_0_dereddened.csv,ZTF19aakizps,-6.790099480000208,0.05514175,4090.518965825336,4515.5685213159,416.79934475018285,7.497470656233921
15,ZTF19aaklqod_20200214_SEDm_0_dereddened.csv,ZTF19aaklqod,-11.328497299997252,0.02995515,3893.209435248616,4452.280566674315,518.5523057840782,27.177002278441385
16,ZTF19aanhgqg_20190325_SEDm_0_dereddened.csv,ZTF19aanhgqg,-8.146012270000938,0.02786203,3896.1383493104263,4469.242991484298,536.5184327636798,6.567355602456483
17,ZTF19aanhgqg_20190326_SEDm_0_dereddened.csv,ZTF19aanhgqg,-7.146012270000938,0.02786203,3924.3701050825375,4497.474747256409,538.6342567080166,10.369499793221577
18,ZTF19aauhwbp_20190513_SEDm_0_dereddened.csv,ZTF19aauhwbp,-8.052009090002684,0.03951246,4143.168274250102,4514.94610779582,328.906912941005,5.708049591045962
