,ztfname,filename,redshift,phase,v_x1,v_x2,V_Sil_5972_mean,V_err_Sil_5972_mean,V_Sil_5972_median,V_err_Sil_5972_median,V_lower_err_Sil_5972_median,V_higher_err_Sil_5972_median,pEW_Sil_5972_mean,pEW_err_Sil_5972_mean,pEW_Sil_5972_median,pEW_err_Sil_5972_median,pEW_lower_err_Sil_5972_median,pEW_higher_err_Sil_5972_median,pEW_Sil_5972_median_trap,pEW_Sil_5972_median_trap_err,pEW_lower_trap_err_Sil_5972_median,pEW_higher_trap_err_Sil_5972_median,FWHMv_Sil_5972_mean,FWHMv_err_Sil_5972_mean,FWHMv_Sil_5972_median,FWHMv_err_Sil_5972_median,FWHMA_Sil_5972_mean,FWHMA_err_Sil_5972_mean,FWHMA_Sil_5972_median,FWHMA_err_Sil_5972_median,FWHMA_lower_err_Sil_5972_median,FWHMA_higher_err_Sil_5972_median,V_Sil_err_low_5972_final,V_Sil_err_high_5972_final,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final
0,ZTF18aabstmw,ZTF18aabstmw_20180307_LCO-FLOYDS_0_dereddened.csv,0.02308648,-6.750250680001045,-19092.741935483864,-3850.8064516128943,-1.0836080233814638,0.004086910605515141,-1.0845703567165816,0.004086910605515141,0.0012876428498008693,0.003545348639360031,37.83819835535866,0.5985326961820089,38.071548093070746,0.5985326961820089,1.0306725098285487,0.5451191533392817,37.794277012193234,0.7364431055175051,1.0200496314783376,0.5110719920032086,0.5954528935240123,0.010522141441013749,0.5979794009568854,0.010522141441013749,114.2819688813172,1.1090503921399046,114.76084283623732,1.1090503921399046,2.4899831427848516,1.0710190067818157,0.024284957690119638,0.025410391415792776,1.258113547476284,0.8964056161550947,2.725804252630479,1.5417764057066068
1,ZTF18aabstmw,ZTF18aabstmw_20180307_SEDm_0_dereddened.csv,0.02308648,-6.750250680001045,-16411.290322580637,-4415.322580645152,-1.179703397099718,0.017271881014295706,-1.18284696688867,0.017271881014295706,0.0015413218089554972,0.005785625624622691,29.559967667093,2.3938278218843876,30.82225233833047,2.3938278218843876,0.686221908047705,0.5682525680688515,29.54712210417728,2.97443548149896,0.9041336376264849,0.6013099769800507,0.5205622636297551,0.04502763430879522,0.5327237888792851,0.04502763430879522,99.61096221511022,4.6729769286602165,101.91594069529492,4.6729769286602165,3.389256929366078,1.122384745214501,0.03734051748624447,0.03821514034094382,3.108813932722197,3.034607078686745,5.772674935335147,4.805877744187932
2,ZTF18aasprui,ZTF18aasprui_20180804_P200_0_dereddened.csv,0.0380507,-13.543841719998454,-14576.612903225803,-3850.8064516128943,-1.1541975378914537,0.0,-1.2554414176106095,0.0,0.6325447030261023,0.5365165088878041,13156.996914548854,0.0,1.6573696230877164,0.0,0.2956867251786945,354056.02788437105,1.0346862698775072,0.0,0.38693453623685325,3.240491786816289,0.3261685410191236,0.0,0.025808126687816735,0.0,61.03398966139093,0.0,4.960901695029861,0.0,1.196254799817305,116.87065698881675,0.6525447030261023,0.5565165088878041,0.38693453623685325,3.240491786816289,1.196254799817305,116.87065698881675
3,ZTF18aauizcr,ZTF18aauizcr_20180519_APO_0_dereddened.csv,0.03391415,-9.11375088999921,-19374.999999999996,-6673.38709677419,-1.3449529705461192,0.015170002072853158,-1.345832650806317,0.015170002072853158,0.0027745569656528464,0.004749167921910281,22.282099015346084,1.3890926947153743,22.347333693953978,1.3890926947153743,0.7993456629517274,0.6670101976374316,22.137352368098256,1.7251473619761057,0.7663447377584708,0.5250146458750352,0.5641424930078879,0.03793730126074493,0.5649903308761313,0.03793730126074493,107.40698283145736,4.085473364118958,107.54214729613432,4.085473364118958,2.642125374726223,1.9912331847502265,0.03542164482946037,0.035896023365636784,1.8877016919055871,1.8032675339273443,4.865379646512455,4.5448984812618205
4,ZTF18aauizcr,ZTF18aauizcr_20180519_SEDm_0_dereddened.csv,0.03391415,-9.11375088999921,-19516.12903225806,-8649.193548387091,-1.4665141960312411,0.01688838988467088,-1.4661824940997419,0.01688838988467088,0.0008516721791925161,0.0012536827065364592,14.036104821945854,1.3308718295919817,13.910580094991213,1.3308718295919817,0.2132902926942377,0.3692468239891089,13.702969911528282,1.4307829945037744,0.2228487859973457,0.27445720004178115,0.4318076871840654,0.043430235456592296,0.43272591941191085,0.043430235456592296,81.9083379826059,4.530001002214274,82.07477606927569,4.530001002214274,0.5864531697797224,1.1569173026168917,0.036909850927712644,0.03693485852392403,1.4480336870327564,1.4568688108460426,4.567804330354685,4.675400167382111
5,ZTF18aaxdrjn,ZTF18aaxdrjn_20180531_SEDm_0_dereddened.csv,0.03388557,-10.18727019999642,-14294.354838709674,-6673.38709677419,-1.2116850258372494,0.031090130981587128,-1.2113666184636736,0.031090130981587128,0.001244374643804262,0.00175698618886161,14.530538890713377,5.814863703811222,13.970568296905805,5.814863703811222,1.7763568394002505e-15,1.1477790198718307,13.571840701365577,6.993356283874196,0.5368834580327543,1.3756603484452146,0.18903472846368724,0.09812120101126472,0.17542948358911126,0.09812120101126472,36.13590802709432,8.404205438536104,33.53483960649555,8.404205438536104,0.2996265686057237,2.922411224548359,0.051115023906569426,0.051139737393242325,7.0139344137731925,7.127374938046062,8.409544882675535,8.897817508720106
6,ZTF18aaxdrjn,ZTF18aaxdrjn_20180603_LT_0_dereddened.csv,0.03388557,-7.187270199996419,-15987.903225806447,-3568.548387096765,-1.1181700554933698,0.02678511841755466,-1.1185564759100615,0.02678511841755466,0.006460774556491948,0.002070426739549941,23.869652912833928,2.5599089393743064,23.618202186108192,2.5599089393743064,0.8132487749715149,1.0353216375258603,23.084555138597548,3.4601953869317588,0.9056428858226991,0.6693240582204144,0.5997333415000161,0.06875664662850364,0.5979096826891348,0.06875664662850364,114.98118186061454,7.263607372632377,114.65845825200631,7.263607372632377,4.022349739650597,3.4442425233711833,0.047553297017094695,0.046865018807480285,3.5767500824610448,3.5243363645736867,8.30296871557557,8.038830675139122
7,ZTF18aazgfkq,ZTF18aazgfkq_20180613_Xinglong-2.2m_0_dereddened.csv,0.02404901,-6.532848299997568,-15141.12903225806,-2580.6451612903184,-1.0250946772302747,0.022995214553837535,-1.0225222545246249,0.022995214553837535,0.011211474828175014,0.015059523205684834,37.278766607237685,3.089493776047336,37.78518383127238,3.089493776047336,2.627022668628311,3.2414120946096574,36.067796371039094,3.6807215882587547,2.542003870728835,2.582558281021874,0.6568203301757191,0.06057887795351311,0.6545568071162672,0.06057887795351311,126.3000761556751,6.2504796405682015,125.86858597803712,6.2504796405682015,7.344051790354955,8.464475893638909,0.045582749269768165,0.047487617786188416,4.47319741226278,4.4963672764965175,9.643837018353919,10.522159849154155
8,ZTF18aazixbw,ZTF18aazixbw_20180611_Gemini-N_0_dereddened.csv,0.05910831,-11.934177700000872,-20362.903225806447,-5544.354838709674,-1.3122613017078393,0.014611092376626137,-1.3137843141939332,0.014611092376626137,0.006422995218984572,0.0063032512839766575,36.13281606393153,2.410114916113474,35.53388245233352,2.410114916113474,2.06155202447158,3.290595490381649,35.51974481639418,3.531872574802254,2.0493747102611244,3.202903571623655,0.5145726363650656,0.03866360053869306,0.5126686038595053,0.03866360053869306,98.06651043571246,3.9365747732173975,97.7387075794295,3.9365747732173975,3.730643348431984,5.32758807989843,0.035960541595491086,0.0359127306640707,4.083388370911855,4.767883720662645,5.4234970948947145,6.624184153101984
9,ZTF18aazixbw,ZTF18aazixbw_20180611_NOT_0_dereddened.csv,0.05910831,-11.934177700000872,-19233.87096774193,-5403.225806451606,-1.2992235281045657,0.020460147528682516,-1.2957058763545701,0.020460147528682516,0.009347463899376973,0.0034782650993685957,49.87611993020775,4.267313643849093,51.054218465966386,4.267313643849093,3.8257951074986765,2.542292302681954,50.820636823974915,5.300837689031959,3.792048147677559,2.4572878822474347,0.5430457976881746,0.05382978086184367,0.5519465894202141,0.05382978086184367,103.53569939131889,5.516716795348491,105.24139563964354,5.516716795348491,5.8862175823306195,3.9035241296035235,0.042494281901087866,0.04075369762227779,6.517553939919982,5.842700055770599,8.067324316439636,6.758081445978368
