Unnamed: 0,Dereddened File Name,ztfname,Phase of spectrum,z,wl_x1_Ti,wl_x2_Ti,integral,SNR
0,ZTF18aabstmw_20180307_LCO-FLOYDS_0_dereddened.csv,ZTF18aabstmw,-6.750250680001045,0.02308648,6272.177419354839,6397.177419354839,177.2491082399231,13.54196517579042
1,ZTF18aabstmw_20180307_SEDm_0_dereddened.csv,ZTF18aabstmw,-6.750250680001045,0.02308648,6336.6935483870975,6381.048387096775,210.34308568939252,11.290045324895218
2,ZTF18aauizcr_20180519_SEDm_0_dereddened.csv,ZTF18aauizcr,-9.11375088999921,0.03391415,6241.935483870968,6326.612903225807,51.852050657676216,12.078254798974427
3,ZTF18aaxdrjn_20180531_SEDm_0_dereddened.csv,ZTF18aaxdrjn,-10.18727019999642,0.03388557,6308.467741935484,6397.177419354839,81.19582421819672,5.562463153178336
4,ZTF18aaxdrjn_20180603_LT_0_dereddened.csv,ZTF18aaxdrjn,-7.187270199996419,0.03388557,6252.0161290322585,6449.596774193549,34.14259329872175,4.540061411832244
5,ZTF18absnqyo_20180908_SEDm_0_dereddened.csv,ZTF18absnqyo,-5.100248729999294,0.03861004,6328.629032258064,6554.435483870968,54.56423187423201,10.665108157589506
6,ZTF18abupgql_20180913_P200_0_dereddened.csv,ZTF18abupgql,-10.15270235999924,0.0462104,6360.887096774194,6518.145161290323,70.9901396400748,5.55531659180523
7,ZTF18abvejbm_20180914_SEDm_0_dereddened.csv,ZTF18abvejbm,-10.705234879998898,0.04416009,6310.483870967742,6510.080645161291,37.218143275929265,4.560215794839507
8,ZTF18acbvgqw_20181104_SEDm_0_dereddened.csv,ZTF18acbvgqw,-12.614274049999947,0.00884722,6268.145161290323,6415.322580645162,-11.62390731304015,7.18150812468779
9,ZTF18acehilk_20181108_SEDm_0_dereddened.csv,ZTF18acehilk,-9.705358109997178,0.03503777,6741.935483870968,6848.790322580646,-18.02959958516402,4.013456995185928
10,ZTF18achbllm_20181113_SEDm_0_dereddened.csv,ZTF18achbllm,-8.466060020000441,0.04710716,6191.532258064516,6401.209677419355,-42.510579308530055,7.770291204028383
11,ZTF18achbllm_20181115_SEDm_0_dereddened.csv,ZTF18achbllm,-6.466060020000441,0.04710716,6270.161290322581,6451.612903225807,24.489411384997254,5.670120975116944
12,ZTF18acsyzca_20181206_LCO-FLOYDS_0_dereddened.csv,ZTF18acsyzca,-9.989981350001472,0.01424367,6252.0161290322585,6385.080645161291,116.55569313491446,9.93524843739164
13,ZTF18acvrfvv_20181219_SEDm_0_dereddened.csv,ZTF18acvrfvv,-6.464255829996546,0.04133705,6235.887096774194,6419.354838709678,74.70253047939599,6.386020148954504
14,ZTF19aakizps_20190209_NTT_0_dereddened.csv,ZTF19aakizps,-6.790099480000208,0.05514175,6260.080645161291,6409.274193548387,76.76627473551474,7.497470656233921
15,ZTF19aaklqod_20200214_SEDm_0_dereddened.csv,ZTF19aaklqod,-11.328497299997252,0.02995515,6247.983870967742,6401.209677419355,49.8126219167321,27.177002278441385
16,ZTF19aanhgqg_20190325_SEDm_0_dereddened.csv,ZTF19aanhgqg,-8.146012270000938,0.02786203,6284.274193548387,6469.75806451613,96.58553418844332,6.567355602456483
17,ZTF19aanhgqg_20190326_SEDm_0_dereddened.csv,ZTF19aanhgqg,-7.146012270000938,0.02786203,6290.322580645162,6437.5,158.09474197275773,10.369499793221577
18,ZTF19aauhwbp_20190513_SEDm_0_dereddened.csv,ZTF19aauhwbp,-8.052009090002684,0.03951246,6098.790322580646,6294.354838709678,-85.71720755836829,5.708049591045962
19,ZTF19aavrswr_20190603_SEDm_0_dereddened.csv,ZTF19aavrswr,-8.495970730000408,0.03276714,6270.161290322581,6370.967741935484,27.66776249328808,12.33512201661579
